question,answer
江苏路街道下辖多少个居委会？,下辖13个居委会。
江苏路街道较著名的近代建筑有什么？,较著名的近代建筑有中西女中（今上海市第三女子中学）、王伯群及汪精卫公馆（今长宁区少年宫）、西园公寓等。
黄独分布在哪些地区？,分布于大洋洲、朝鲜、非洲、印度、日本、台湾、缅甸以及中国的江苏、广东、广西、安徽、江西、四川、甘肃、云南、湖南、西藏、河南、福建、浙江、贵州、湖北、陕西等地
黄独生长的地区海拔约是多少米？,"生长于海拔300米至2,000米的地区"
黄独的英文名是什么？,英文别名为air potato。
什么是黄独？,黄独（学名：）为薯蓣科薯蓣属的植物。
黄独的外皮是什么颜色的？,外皮黄褐色
什么是烯酮？,烯酮是含有RC=C=O结构的有机化合物的统称。
在烯酮研究方面作了很大贡献的人是谁？,赫尔曼·施陶丁格
什么是乙烯酮？,乙烯酮是无色有强烈气味的气体，刺激性和毒性很大，熔点-150.5°C(-239°F)，沸点-56.1°C(-69°F)。
工业上是怎样合成乙酸酐的？,乙烯酮与乙酸反应生成乙酸酐
烯酮的作用有哪些？,它可以二聚生成二乙烯酮的衍生物，也可与富电子的炔烃发生[2+2]环加成反应生成环丁烯酮衍生物。
墨西哥土拨鼠又被称之为什么？,又名墨西哥草原松鼠或墨西哥草原犬鼠
墨西哥土拨鼠栖息的地区海拔约是多少米？,墨西哥土拨鼠栖息在海拔1600-2200米的平原上。
墨西哥土拨鼠主要分布在哪些地区？,牠们分布在墨西哥的圣路易斯波托西州北部及科阿韦拉州。
他们的天敌是谁？,牠们的天敌有郊狼、短尾猫、鹰、獾及鼬。
墨西哥土拨鼠何时达至性成熟？,牠们1岁后就达至性成熟，寿命约3-5年。
2014年初，王栋喜获什么？,一对龙凤双胞胎
王栋2009年中超夺冠的奖金为什么被扣发？,2010年，王栋在北京国安坐了多年的板凳之后选择转会，加盟深圳红钻寻求比赛机会，因要求转会离队，其2009年中超夺冠的奖金被扣发。
王栋为什么戴着保护面具参加了深圳红钻的数场保级战役？,在随后客场对河南建业的比赛中，王栋额骨被撞骨折，后火速复出，戴着保护面具参加了深圳红钻的数场保级战役。
王栋为什么急需用钱？,2014年初，王栋喜获一对龙凤双胞胎，但是体弱需入院治疗。急需用钱的王栋和俱乐部就补发13年拖欠薪水和奖金上难以达成一致，尽管参加季前集训后报了名，但一整年都没有随队。
米尼科伊岛（Minicoy）位于什么地方？,印度拉克沙群岛中央直辖区最南端
米尼科伊岛附近有什么海峡或礁石？,它与拉克沙群岛隔九度海峡相望，与马尔代夫伊哈万迪富卢环礁隔八度海峡相望。
截止2001年岛上的人口有多少？,总人口9495（2001年）。
岛上除了椰子树，唯一的地标是什么？,唯一的地标是一座灯塔。
Viringili曾被用来作为什么用途？,曾被用作麻风病患者的驱逐地
中国是什么时候参加奥运会摔跤项目的？,摔跤是中国自2000年悉尼奥运会开始的参赛的项目
中国什么时候获得奥运会摔跤首金？,2004年雅典奥运会首次获得1枚金牌
参加2008年北京奥运会的中国摔跤队有多少运动员参赛？,16人
华阳路街道四周相连的是什么地方？,东到长宁路、安西路、武夷路接邻江苏路街道，北到苏州河接邻普陀区。
华阳路街道下辖多少个居委会？,21个
愚园路历史文化风貌区的重要组成部分是什么？,辖区内的圣约翰大学旧址（今华东政法大学）、中山公园
华阳路街道途经哪些轨道交通线路？,上海市轨道交通二号线、三号线、四号线以该街道辖区的中山公园站为换乘枢纽。
冯素弗是何时去世的？,死于太平七年（415年）。
谁首次提出了四重键的概念？,Frank Albert Cotton
水腺毛草的学名是什么？,Byblis aquatica
水腺毛草通常被称之为什么？,彩虹草
水腺毛草生长的状态是怎样的？,生长是以半水生的状态
水腺毛草首次采得是什么时候？,1988年4月首次采得
1996年扬·弗利兹提出了什么意见？,1996年扬·弗利兹（Jan Flisek）提议改成一个新物种的分类单元来描述
利亚伊奇是哪个国家的足球运动员？,塞尔维亚
利亚伊奇目前效力于哪支球队？,意甲球队
利亚伊奇取得的第一个入球是在哪场赛事上？,2008年11月23日联赛对阵OFK贝尔格莱德的赛事
2012年意甲联赛后，德里奥·罗西为什么被俱乐部解雇了？,2012年5月2日，在一场意甲联赛中，费伦天拿时任主教练德里奥·罗西在把拿积换下后，拿积在鼓掌后被德里奥·罗西认为是在讽刺他，德里奥·罗西立即痛殴在后备席的拿积。
2012-13赛季，拿积有哪些杰出功绩？,2012-13赛季，拿积在主场对阵国际米兰时与队友祖维迪各自梅开二度，以4-1击败对手。
什么是督邮？,督邮，中国古代职官名，自汉代开始设置。
督邮主要负责什么工作？,掌管郡内驿站，还可以案验刑狱，检核非法
督邮的地位从什么时候开始下降？,魏晋
北齐将督邮改为什么？,以后，设置逐渐减少，例如北齐只设于清都郡。
督邮被废止是在什么时候？,隋代
家铉翁是哪里人？,眉山（今属四川）人。
家铉翁先祖什么时候迁居四川的？,唐末
家铉翁赐进士出身是哪一年？,德祐二年（1276年）
皇上赐衣服并放还时，家铉翁多大年龄？,八十多岁
家铉翁著有哪些书目？,著有《说易》、《春秋序例》、《孝经解义》等书皆失佚。另有《则堂集》二十卷，今存《永乐大典》本六卷。
《无双大蛇Z》是谁旗下ω-force开发的动作游戏？,光荣
《无双大蛇Z》将什么的所有内容合并移植到最新的游戏及平台上？,《无双大蛇》和《无双大蛇：魔王再临》
《无双大蛇Z》新增了多少个关卡？,12个
《无双大蛇Z》在什么时候推出了Windows版？,并于2009年11月27日推出Windows版。
崇庆县属于哪个省？,四川省
1950年1月12日发生了哪些事件？,1月12日，成立崇庆县人民政府，同时结束“崇庆县解放委员会”。
崇庆县划归哪个市管辖？,成都市
对崇庆县开始实施军事管制是哪一个事件？,1950年1月4日，中共委派的军代表（县委书记）张敏、县长姚体信等十四人抵达崇庆县，开始实施军事管制。
《花吃了那女孩》的故事地点在哪里？,台北一座老旧公寓
电影中的旁白由谁担纲负责？,陈绮贞
《花吃了那女孩》由几段不同的故事组成？,四段
Spancer与热恋三年的谁分手了？,Summer
常见的硫氰酸盐包括哪些？,常见的包括无色的硫氰酸钾、硫氰酸钠、硫氰酸铵和硫氰酸汞。
硫氰酸酯指的是什么？,硫氰酸酯指含有SCN官能团的有机化合物。
硫氰酸盐可以怎样制备？,硫氰酸盐可由硫或硫代硫酸盐与氰化物反应制备
马术比赛－团体三项赛什么时候举行？,2008年8月9日至8月12日
决赛中哪个国家赢得了金牌？,德国
剩下队伍与前三名的差距如何？,剩下队伍与前三名的分数差距比较大。
岸本早未是哪个国家的歌手？,日本
岸本早未所属唱片公司是哪家？,GIZA Studio
2002年，岸本早未参加了什么节目与Giza签约？,Giza studio presents DIG STAR audition
最新发布的歌曲名称叫什么？,See you Darling
岸本早未的服装风格受到谁的影响？,安室奈美惠
米象的俗称是什么？,米虫、谷牛，中国北方地区称为麦甲
除米象的正确做法是什么？,正确的做法是将生虫大米置于阴凉通风处，让米象慢慢爬出，再筛；亦可采用磷他锌加有机酸熏杀。
成虫是如何产卵的？,成虫用口器将谷物啮成深孔，并产卵于孔内，通常一粒谷粒产一卵，数量依谷粒大小而异。
温度对于米象有什么影响？,低温时进入假死状态，恢复正常体温后恢复活动
米象一年约能产生多少世代？,8～9个
大卫·克劳斯的职业是什么？,演员
大卫·克劳斯出生在哪儿？,德国汉堡以北的小镇Henstedt-Ulzburg
大卫·克劳斯的第一部电影是什么？,《变身一团糟》
什么是巴士系数？,巴士系数是软件开发中关于软件项目成员之间信息集中及共享度的一个衡量指标。
对关键成员是如何诠释的？,对关键成员的诠释为“对项目不可或缺”，即其掌握的项目信息（例如设计、源码、知识）并不被众多其他成员所熟悉、共享。
作为术语的“巴士系数”，是何时较为常见的？,“巴士系数”作为术语在1998年起就已经在工商管理领域较为常见
巴士系数的创始人是谁？,创始人暨首席架构师Linus Torvalds
GS的热潮急速减退是什么时期？,1960年代末期
PYG是由哪些成员重组而成的？,The Spiders、The Tigers和The Tempters解散后，部份成员于1971年组成日本首个「PYG」。
在今天，一般提及的Group Sounds都指的是什么乐队？,现在，一般提及的Group Sounds都是指1960年代后半期活跃于咖啡店的流行曲乐队和摇滚乐队。
GS名字的由来是什么？,自1966年披头四到日本公演以后，一边唱演唱一边亲自演奏电吉他等乐器的乐队在日本不断冒起，以年轻读者为主的艺能杂志《周刊明星》把这些乐队和音乐通称为「Group Sounds」或「Group Sound」，及后被广泛使用。
奥斯卡最佳视觉效果奖早期被称之为什么？,奖项早期称为最佳特殊效果奖（Best Special Effects）
1963年，奥斯卡最佳视觉效果奖又有了什么变化？,至1963年又细分为最佳特殊视效奖（Best Special Visual Effects）与最佳音效奖（Best Sound Effects，现今为最佳音效剪辑奖（Best Sound Editing））。
该奖项是在何时更名为最佳视觉效果奖的？,1996年
什么是奥斯卡最佳视觉效果奖？,奥斯卡最佳视觉效果奖（），由美国电影艺术与科学学院通过业内人士投票，颁给每年得票最高的视觉特效，奥斯卡金像奖之一。
此奖项是何时创立的？,1939年
非洲羽毛球联合会什么时候宣布退出国际羽联？,1977年
世界羽毛球联合会最终与哪一组织合并？,国际羽毛球联合会
曼努乔是哪国人？,安哥拉
非国杯神射手冠军是谁？,伊度奥
格里戈里是哪个国家的著名导演？,苏联
格里戈里的常见风格是怎样的？,善用无声、蒙太奇手法，风格偏向表现主义。
格里戈里曾经就读于哪所高校？,圣彼得堡的帝国艺术学院
执导的电影中，较为出名的有哪些？,威廉·莎士比亚的《李尔王》、《哈姆雷特》、米格尔·德·塞万提斯的《唐吉诃德》
电影代表作是哪部？,《哈姆雷特》
卡卡啄羊鹦鹉的羽毛是什么颜色？,牠们的羽毛呈橄榄褐色，颈部及胸部分别呈橙色及稻草色。
卡卡啄羊鹦鹉生活在什么地区？,诺福克岛及菲利普岛的岩间及树顶。
卡卡啄羊鹦鹉是谁发现的？,詹姆斯·库克
卡卡啄羊鹦鹉的数目为什么会大大减少？,自1788年至1814年间，诺福克岛成为了流放地，而1825年至1854年间则准备作为殖民地，卡卡啄羊鹦鹉的数目随之而大大减少。
最后饲养的卡卡啄羊鹦鹉什么时候死去的？,1851年
《黄国伦的异想世界》开播时播出的时间段为什么时候？,时段为周一至周五晚间七点
《黄国伦的异想世界》的主持人是谁？,黄国伦
《福临满门感恩迎新年》的开头合唱是谁唱的？,黄国伦、黄韵玲一同合唱
海柏花园有哪些配套设施？,设有大型会所，大型户外泳池、壁球室、健身室、桑拿浴室、卡拉OK室、 乒乓球室、儿童游乐场、篮球场、儿童游戏室、儿童波波池、阅读室及钢琴室等。
海柏花园在哪里？,香港新界沙田区马鞍山临海地段西沙路608号
什么是笔迹分析？,笔迹分析 (Graphoanalysis) 指透过书写人的笔迹，分析其行为及性格，或者核对笔迹之真伪。
通过笔迹分析，可以了解到什么内容？,笔迹分析可以从写者的书写风格，透析其的内心世界、个性特质、心理状态及情绪等。
分析笔迹从哪几个方面入手？,笔迹分析包括著重字体被书写的力度、斜度、字体结构、字与字之间的结构、格式、空格与空白位置及签名风格等等。
美国公司为什么注重笔迹分析？,公司高层认为，通过笔迹分析，可以进一步地了解应征者的心理状态，把笔迹分析技术应用于公司的招聘和管理中，将雇员分配到适合自己性格的岗位，以达至人尽其才。
人书写的方法可以反映什么？,人书写的方法，能够反映其潜意识
《暮蝉悲鸣时祭 盥回篇》是为了什么而特别设计的？,《暮蝉悲鸣时祭 盥回篇》是专为PS2版本《暮蝉悲鸣时祭》及其改良版《暮蝉悲鸣时祭 碎片游戏》游戏而设计的独有剧本。
本篇讲述了一个什么样的故事？,本篇是在讲述由于圭一从大石那里探听到了有关绵流祭当天会有一人死亡一人失踪的消息，而大家却似乎在隐瞒什么。
为什么之后的鬼隐篇疑神疑鬼要素没有触发？,本篇中，诗音告诉圭一水坝杀人案时，由于圭一已经了解大家是不想让他害怕而不告诉他杀人案，所以在之后的鬼隐篇疑神疑鬼要素没有触发。
魅音进入“脑瘫”的状态后，对什么出现反应？,在大石的呼唤下，魅音听到“雏见泽”这句话后出现反应。
魅音恢复意识的过程是什么样的？,大石把礼奈的帽子交给魅音，魅音在大石和赤坂离开病房后凝视著帽子，整个人突然恢复意识，
詹森在国民普选中获得多少支持率？,詹森在国民普选中获得61.05%的支持
美国总统选举史上还有哪些差额很大的选举？,1920年美国总统选举、1924年美国总统选举、1936年美国总统选举、1972年美国总统选举
芝加哥哥伦布纪念博览会的举办时间是什么时候？,1893年5月1日至10月3日
芝加哥哥伦布纪念博览会简称为什么？,芝加哥博览会
芝加哥哥伦布纪念博览会为了纪念谁发现新大陆400周年？,哥伦布
主会场Court of Honor地区有哪些展馆？,主会场Court of Honor地区，有美术馆、联邦政府馆、园艺馆、工艺馆、农业馆、机械馆、管理栋等等，为展示美国的繁荣建造了豪华的新古典主义建筑。
孙晋芳现任什么职务？,现任国家体育总局网球运动管理中心主任。
中国女排的首个世界冠军是什么？,世界杯排球赛
在担任国家体育彩票中心主任期间，有哪些杰出成就？,促使全国体育彩票发行额达到570亿元人民币。
在担任国家体育总局网球运动管理中心主任时，有什么特殊贡献？,2003年，调任国家体育总局网球运动管理中心主任，带领中国女网取得重大突破，培养出李婷、孙甜甜、郑洁、李娜等著名运动员，并在2004年夏季奥林匹克运动会上拿到了女子双打冠军。
什么是天正之阵？,天正之阵天正之阵」是天正13年（1585年）发生在伊予国地方的一系列战争的统称，包括丸山城之战、金子城之战及高尾城之战。
秀吉四国征伐中最重要的一战是什么？,1585年（天正13年）与羽柴秀吉(丰臣秀吉)联盟之毛利军派小早川隆景率军在四国的伊予国新居郡（现在的爱媛县新居滨市）登陆，金子城城主金子元宅率领地方势力准备跟有压倒性优势的小早川隆景决一死战。
7月17日，金子元宅放火烧掉高尾城后做了什么？,抱著以死殉国的决心在野野市原(野々市ヶ原)与毛利军进行最后决战。
长宗我部元亲为什么向秀吉投降？,长宗我部元亲于此战失去了最大据点伊予，防线全崩，对羽柴军节节败退，不久就向秀吉投降。
什么是化学物质毒性数据库？,是一个记录化学物质毒性资料的数据库。
在2001年之前这个数据库是哪个公司提供的出版物？,美国国家职业安全卫生研究所
RTECS中主要包括几类化学物质的毒性数据？,六大类
RTECS有几个语言版本？,三个
江背镇位于什么地方？,湖南省长沙县东南部
什么时候三乡镇合并组建江背镇？,1995年
区划调整后村落和社区有什么变化？,区划调整后为13个村、3个社区。
"哪一年乙二胺的使用量约500,000,000公斤？","2008年乙二胺的使用量约500,000,000公斤。"
乙二胺有类似氨的什么气味？,臭味
乙二胺有二个什么？,胺基
乙二胺为什么是许多聚合物制造的原料之一？,乙二胺由于有二个有活性的胺基，是许多聚合物制造的原料之一。
钱小豪在哪儿长大？,后来举家搬到北角健康邨定居，钱小豪在邨内长大。
钱小豪原名叫什么？,钱嘉华
钱小豪出生在哪儿？,香港
钱小豪第一部担任男主角的影片是什么？,《飞狐外传》
五羊邨站的公共洗手间位于哪儿？,站厅层A出入口处
五羊邨站位于哪里？,越秀区五羊新城寺右新马路广州大道路口西侧的地底
五羊邨站共有几层？,三层
付费区站厅与站台之间有哪些便利设施？,为方便乘客进出，付费区设于站厅南侧，付费区站厅与站台之间设有多组扶手电梯、专用电梯（升降机）以及楼梯往返于各层。
周而复什么时候出版了第一本诗集？,1936年
周而复为什么会被开除党籍？,1985年于对外友协访日代表团团长访日期间，宣言为准备撰写抗日战争长篇小说，不顾中国驻日使馆劝阻、参观了日本靖国神社
奥亚吸蜜鸟是哪里的特有物种？,可爱岛
奥亚吸蜜鸟灭绝的原因是什么？,灭绝的原因包括黑鼠、猪和带有鸟类疾病的蚊入侵，以及栖息地的破坏。
奥亚吸蜜鸟体积有多大？,约20厘米长
奥亚吸蜜鸟以什么为食？,牠们特别喜欢山梗菜属及桃金娘的花蜜，也会吃细小的无脊椎动物及果实。
奥亚吸蜜鸟的近亲有什么？,夏威夷吸蜜鸟、监督吸蜜鸟及欧胡吸蜜鸟
《咒法解禁!! HYDE & CROSER》是谁的作品？,麻生羽吕
主角实际上继承了谁的血脉？,咒术师祖父亚尔席德·克洛瑟
咒术的媒介「咒具」在哪里可以购买？,隐市
罗宾在吉布斯家族五姐弟排行第几？,第三
罗宾的双胞胎弟弟叫什么？,是双胞胎弟弟莫里斯（Maurice Ernest Gibb）的哥哥。
罗宾在澳洲组建的乐队名称是什么？,Bee Gees
罗宾晚年因为什么疾病而去世？,大肠癌及肝癌
资产重置成本定价模型主要应用在哪些地方？,在现金流折现模型诞生之后，资产重置成本定价模型逐渐衰落，目前主要用于自然资源企业、重工业企业等资本密集型企业。
资产重置成本定价模型是谁提出的？,由哥伦比亚大学教授、著名投资家格雷厄姆及其助手多德提出并完善的资产定价模型
佛科留斯系统将星系分为哪几个种类？,将星系分为椭圆星系、透镜星系、螺旋星系和不规则星系。
谁补充了哈伯序列的不足？,热拉尔·佛科留斯
佛科留斯系统是谁的补充？,哈伯序列
中国新疆航空最早什么时候成立的？,1955年
中国新疆航空的前身是什么？,前身最初是1955年成立的中国民用航空乌鲁木齐管理处。1959年到1984年，为中国民航新疆维吾尔自治区管理局。
东莞县是什么时候出现的？,始于东晋咸和六年（331年）的宝安县，至唐朝至德二年（757年）更名东莞县。
东莞的名字是怎么来的？,东莞相传是东官的音转，亦有人说因地处广州东面及盛产水草（莞草）而得名，或曰昔日有侨东莞郡人居此，以为相似于其乡，故名。
东莞什么时候撤县建市的？,及至1985年，东莞县经国务院批准列为珠江三角洲经济开发区，同年9月撤县建市，即今天的东莞市。
黄花镇位于什么地方？,湖南省长沙县中南部
全镇面积多大？,169平方公里
黄花镇是由哪几个乡镇组建而成的？,黄花区黄花镇、回龙乡和谷塘乡地域
区域调整后，村和社区有什么变化？,区划调整后为20个村、3个社区。
黄花镇主要收入来源是什么？,生产泵送产品的配件
2008年北京奥运会中国跳水队参加的运动员有多少人？,其中男运动员6人，女运动员4人
08年北京奥运跳水队的领队是谁？,领队李桦，副领队周继红
拉脱维亚大学的现任校长是谁？,Mārcis Auziņš教授
拉脱维亚学院是何时改成拉脱维亚大学的？,1923年
拉脱维亚大学有多少个学院？,拉脱维亚大学设有13个学院，分别是：生物学院、化学学院、经管学院、教育与心理学院、地理与地球科学学院、历史与哲学学院、法学院、医学院、现代语言学院、哲学与艺术学院、数理学院、社会科学学院、以及神学院。
拉脱维亚大学与多少所大学签署了双边合作协议？,76所
拉脱维亚大学成立于哪一年？,成立于1919年
威廉·凯姆勒的律师为什么上诉失败？,部分原因是由于托马斯·爱迪生的州政府立场支持（爱迪生是直流电电力供应的支持者，他被推测希望利用电椅来向人们宣传交流电的危险性）。
《Golden Eyes》是谁的作品？,2007年的新人Freeze
《Golden Eyes》这张专辑什么时候推出的？,在专辑中写的出版日期是2007年11月20日，但实际她们是在2007年11月23日才推出《Golden Eyes》。
《Golden Eyes》里面有几首歌？,四首歌
1911年初，余东雄与何人一起参加了起义？,29位华侨
起义后，余东璇负责什么任务？,起义后，余东璇义务照料郭继枚和余东雄的家属，分别将他们安置在务边大街400号及404号。
为什么余东雄的遗书由郭继枚的妻子转达？,余东雄因为瞒着母亲参加起义，因此他的遗书由郭妻转达。
港铁巴士A73线的首尾站是什么？,连接天富苑及屯门码头
晨早单向服务何时取消的？,晨早单向服务于2009年11月9日取消
往天富的服务何时取消的？,往天富的服务于2009年10月12日起取消
《米兰体育报》主要负责什么报导内容？,体育赛事
《米兰体育报》纸张采用什么颜色？,粉红色
2006年震撼欧洲足球界的电话门事件由哪家媒体最先揭露的？,米兰体育报
《米兰体育报》于米兰出版，导致了什么？,其足球报导中米兰的两支球队AC米兰和国际米兰占绝大多数版面
恶魔城是哪家集团开发的游戏？,日本科乐美集团
恶魔城是何时开始在FC磁碟机平台上开始发售的？,1986年9月26日在FC磁碟机平台上发售
《闹鬼之城》的英文名是什么？,Haunted Castle
陈思荣球技的优点是什么？,优点是速度快，不论快速短传或是长传能力亦属上乘
陈思荣是何时加入香港体育学院的？,陈思荣自小学六年级加入香港体育学院
大埔是何时获得第一个锦标的？,2009年6月6日，大埔于决赛中以4-2击败天水围飞马，升班三年后获得首个锦标。
陈思荣现在的正职是什么？,他的正职为眼镜销售员
2008年斯诺克世界锦标赛在哪里比赛？,克鲁西布剧院
谁在2008年斯诺克世界锦标赛中夺冠？,罗尼·奥沙利文
艾宁顿斯坦利足球俱乐部成立于哪一年？,成立于1968年
王冠球场建于哪一年？,建于1968年
王冠球场可以容纳多少名观众？,"可容5,057名观众"
王冠球场早年被赞助商称为什么？,"早年获得冠名赞助曾经称为「""Interlink Express Stadium""」﹑「""Fraser Eagle Stadium""」及｢储物第一运动场｣（""Store First Stadium""）。"
王冠球场现在被称之为什么？,"｢惠姆运动场｣（""Wham Stadium""）"
林翠1949年随家人迁居香港后在哪里就读？,圣士提反女子中学
林翠与自由影业三年片约期间主演过哪些影片？,《终身大事》（1955）、《马车伕之恋》（1956）、《山地姑娘》（1956）、《馥兰姐姐》（1956）、《蔷薇处处开》（1956）。
林翠息影前的最后一部作品是什么？,《游龙戏凤》
林翠与第二任丈夫所生的三个女儿叫什么？,王馨平、王加露、王美怡
林翠1980年末复出影坛后主演过什么电影？,《海峡两岸》（1988）、《胭脂》（1991）及台湾电视剧《不了情》、《婆媳过招七十回》、《初恋三十年》
在工地中智史立刻就看上了谁？,一位染著金发的不良美少女小智
《工地恋歌》一共有多少册？,全十五册
智史为什么高价买下一个陶壶？,无学历、胆小、贫穷、无固定职业的主角智史，不但每天过著不上不下的日子，还被一名喜欢的女性所诈欺而高价买下一个陶壶。
托尼·埃斯唐盖是哪个国家的运动员？,法国
托尼·埃斯唐盖获得过哪些赛事的金牌？,曾在2000年夏季奥林匹克运动会、2004年夏季奥林匹克运动会和2012年夏季奥林匹克运动会
2012年伦敦奥运会，托尼·埃斯唐盖有什么收获？,2012年伦敦奥运会，他成为法国第一位在同一项目获得3枚金牌的运动员。
托尼·埃斯唐盖在皮划艇世界锦标赛一共获得多少枚奖牌？,12枚
中华航空831号班机劫机事件中劫机者叫什么？,施明振
831号劫机事件是怎么发生的？,飞机于下午4时8分离开高雄，于5时许飞至香港上空时，机上工程师机务人员34岁的施明振进入及反锁驾驶舱，以斧头及利剪两样机上维修工具威胁机组人员改道飞往中国大陆。
鹿豚现已确定有几个物种？,4个
鹿豚栖息在什么地方？,鹿豚栖息在热带森林。
鹿豚原有的学名归属了谁所有？,原有的学名则归属了马鲁古鹿豚所有。
九龙巴士69M线的特别班次是什么？,九龙巴士69P线为69M的特别班次
九龙巴士69M线的优点在哪？,早年班次频密及路线直接是本线的优点
九广西铁是何时通车的？,九广西铁于2003年底通车
巴黎第三区的面积是多少？,面积1.171km²
巴黎第三区包括哪几个部分？,该区包括中世纪风格的玛莱区北面较安静的部分
巴黎第三区的中国移民聚居在何处？,聚居在市长路
巴黎第三区的人口峰值出现在何时？,人口峰值出现于1860年区划调整以前。
在第三区保存至今最古老的私人房屋是哪一年建成的？,1407年
杜陵是谁的曾孙女？,镇南将军杜预
杜陵什么时候去世的？,咸康七年（341年）三月，杜陵去世，死时年仅二十一岁
为什么杜陵美貌出众、知书达礼却没有人求婚？,杜陵美貌出众、知书达礼，但长到很大还没有生出牙齿，求婚人望而却步。
高体四长棘鲷又称之为什么？,又称长棘鲷，俗名盘仔
此鱼的体长约是多少公分？,体长可达70公分
此鱼的侧线鳞片数有多少？,侧线鳞片数50至53枚
此鱼以什么为食？,以甲壳类、棘皮动物为食
胡燕泳毕业于哪所大学？,香港中文大学
胡燕泳是何时转职到香港经济日报的？,2015年中，辞职并离开无线新闻，转职到香港经济日报。
2015年3月2日起，胡燕泳担任什么职务？,2015年3月2日起，担任《环球新闻档案》旁白。
胡燕泳是何时被解雇的？,2012年11月26日，亚视突然解雇七名员工，胡是其中之一
2013年12月7日起，胡燕泳担任什么职务？,2013年12月7日起，担任《午间新闻》主播。
费迪南多什么时候开始成为两西西里王室家族族长？,1966年
费迪南多的父母是谁？,卡斯特罗公爵、波旁-两西西里王室家族族长兰尼埃里与妻子卡罗琳娜·扎莫伊斯卡女伯爵
费迪南多出生于哪里？,波兰马佐夫舍省波赞姆策
费迪南多去世时多大？,81岁
费迪南多去世后谁继承了他的族长位置？,子卡洛
章要儿什么时候被封为皇后的？,永定元年（557年）陈霸先代梁称帝，章夫人被立为皇后。
章要儿的父亲是谁？,南梁散骑常侍章景明
仁义潭水库的总容量是多少？,"总容量达2,782万立方公尺"
仁义潭水库的集水面积是多少？,集水面积 3.66平方公里
仁义潭水库的年供水量约是多少吨？,年供水量为五千二百万公吨。
仁义潭水库有哪些功能？, 它是嘉义市及嘉义县民雄地区公共给水及工业用水的主要来源，并具有调节兰潭水库贮水量的功能。
仁义潭水库和哪一个水库一起串联供应大嘉义地区的民生用水？,兰潭水库
迪士尼乐园巴士R42线的最初编号是多少？,最初编号为D42线
迪士尼乐园巴士R42线是怎样正名为R42线的？,2005年6月22日政府公布香港迪士尼乐园公共交通安排后，才正名为R42线。
为什么搭乘迪士尼乐园巴士R42线的乘客不多？,虽然本路线在沙田区受到港铁的竞争较小，但由沙田区往来迪士尼的乘客一直不多，而且乘客多会由E42转乘R8，因总票价（$19.9）比起本路线（$22.3）为便宜，因此乘搭本路线的乘客不多。
此路线是何时改为只在假日行走的？,故由2018年起，本路线改为只于假日才行走
迪士尼乐园巴士R42线是什么意思？,迪士尼乐园巴士R42线是香港一条来往香港迪士尼乐园及大围铁路站的巴士路线，由龙运巴士经营。
教会还举办什么活动？,教会还举办地下铁道生活博物馆，模拟过去的地下铁路的故事。
底特律第一公理会教堂位于哪儿？,美国密歇根州底特律森林东路33号，伍德沃德大道（Woodward Avenue）路口
底特律第一公理会成立于哪一年？,1844年
彩虹中心第二期在哪里？,泰国曼谷
彩虹中心第二期内有多少个大房间？,酒店内有673个大房间
彩虹中心第二期的第83楼的酒吧名字是什么？,Roof Top Bar & Music Lounge
酒店高多少米？,高304米
